version	phase	path	sha256
20171107143624	main	db/migrate/20171107143624_add_disabled_to_users.rb	0dfcd6f908acd5b28272faeaa678b4859a4c4f3b33e03d999b35c2b6be88ee98
20171109012327	main	db/migrate/20171109012327_add_moderator_to_accounts.rb	66021ad8d4aab07cc00d53b24a6f4fd3ed0f0a044d7da82cebb102988ba47e2f
20171114080328	main	db/migrate/20171114080328_add_index_domain_to_email_domain_blocks.rb	9466f8e3f4be4e1f2fbc405d1943a329c41ce803826dcd651fd1d86a6336b498
20171114231651	main	db/migrate/20171114231651_create_lists.rb	4d33aa1efe1fd2fddf13213ebd0dce5be135ba1c5a0b11b7aed089f89c7de2fa
20171116161857	main	db/migrate/20171116161857_create_list_accounts.rb	6c331680ba6f1b8858c71f2a357d8eedb41118e39e0a1c9ccc8bbcc9c7810cd6
20171118012443	main	db/migrate/20171118012443_add_moved_to_account_id_to_accounts.rb	62204eed8301d37469b8724a5baca352ed58b00d1910e875760417f4e0245aca
20171119172437	main	db/migrate/20171119172437_create_admin_action_logs.rb	b3f0351473377af0a3fc36242d543dabc2d9095364d8ee64fee9944844fe264f
20171122120436	main	db/migrate/20171122120436_add_index_account_and_reblog_of_id_to_statuses.rb	0fb59b3e2cf81019beb2bb29df458eab184c43e6e6f8a762890ade7a05b8a09d
20171125024930	main	db/migrate/20171125024930_create_invites.rb	797184f2a37b58893a1d7d2ccf18aace7e5a918ef90d09537683428ef09ce7bb
20171125031751	main	db/migrate/20171125031751_add_invite_id_to_users.rb	faf0ccc4cd65e65a1016c72df2702de80e35d3ac3a84a22777d10fb58cbf61ab
20171125185353	main	db/migrate/20171125185353_add_index_reblog_of_id_and_account_to_statuses.rb	70f5c78091a4acd27a3a128a77eecfe32c33937c525a15e3d20c218025841976
20171125190735	main	db/migrate/20171125190735_remove_old_reblog_index_on_statuses.rb	f4d3a4f359ad8898e8c552dbd1f581f3c90bcbe57047e5d63bfe7a5c24c06431
20171129172043	main	db/migrate/20171129172043_add_index_on_stream_entries.rb	6121319364c74cedc937bd0e2bd3763b8b07a16de92d0aa4f017958a85862d25
20171130000000	main	db/migrate/20171130000000_add_embed_url_to_preview_cards.rb	cb0daf68e7b6a4f8c38caa6e7bf2327e230c1343fb7ddc3acac1d0c3445cae4b
20171201000000	main	db/migrate/20171201000000_change_account_id_nonnullable_in_lists.rb	46b47f156f0da4b8c725ee18ec72bd584880d81156ff2b79a420621f5db647d5
20171212195226	main	db/migrate/20171212195226_remove_duplicate_indexes_in_lists.rb	c2a3674476c4d3a16a9d649e4f1ea8d0f80ef9c2ec692c2663ad8967904154e6
